stem	rarity (-1 == wasn\'t in corpora, lower is more rare)	total corpora words	first word to make stem
meer	-1	11622	Meereen
astapor	-1	11622	Astapor
yunkai	-1	11622	Yunkai
adoquin	-1	11622	adoquines
multicolor	-1	11622	multicolores
torreon	-1	11622	torreones
piramid	-1	11622	Pirámide
arpi	-1	11622	arpía
cobard	-1	11622	cobarde
daari	-1	11622	Daario
naharis	-1	11622	Naharis
armadur	-1	11622	armadura
azabach	-1	11622	azabache
montur	-1	11622	montura
corcel	-1	11622	corcel
espiral	-1	11622	espirales
ensortij	-1	11622	ensortijados
sitiador	-1	11622	sitiadores
singul	-1	11622	singular
jinet	-1	11622	jinetes
dany	-1	11622	Dany
vuestr	-1	11622	vuestro
zumbon	-1	11622	zumbona
aggo	-1	11622	Aggo
jhog	-1	11622	Jhogo
rakhar	-1	11622	Rakharo
khalas	-1	11622	khalasar
jorah	-1	11622	Jorah
idiot	-1	11622	idiota
arstan	-1	11622	Arstan
barbablanc	-1	11622	Barbablanca
insufl	-1	11622	insufla
solt	-1	11622	soltó
buf	-1	11622	bufido
poz	-1	11622	pozos
mojon	-1	11622	mojón
desclav	-1	11622	desclavaran
contraord	-1	11622	contraorden
orill	-1	11622	orilla
vituper	-1	11622	vituperando
oznak	-1	11622	Oznak
zo	-1	11622	zo
pahl	-1	11622	Pahl
plumm	-1	11622	Plumm
mercenari	-1	11622	mercenarios
unirm	-1	11622	unirme
gusan	-1	11622	gusanos
scarb	-1	11622	Scarb
hig	-1	11622	hígado
desanud	-1	11622	desanudaba
calzon	-1	11622	calzones
chorr	-1	11622	chorro
meand	-1	11622	meando
arakh	-1	11622	arakh
altez	-1	11622	Alteza
mios	-1	11622	míos
extravag	-1	11622	extravagante
tyroshi	-1	11622	tyroshi
prendahl	-1	11622	Prendahl
ghezn	-1	11622	Ghezn
sallor	-1	11622	Sallor
calv	-1	11622	Calvo
baluart	-1	11622	baluartes
dothraki	-1	11622	dothraki
decidl	-1	11622	Decidle
belw	-1	11622	Belwas
eunuc	-1	11622	eunuco
salchich	-1	11622	salchicha
limp	-1	11622	limpió
grasient	-1	11622	grasientas
pantalon	-1	11622	pantalones
afil	-1	11622	afilaba
barbabanc	-1	11622	Barbabanca
entrecerr	-1	11622	entrecerró
ato	-1	11622	ató
bandej	-1	11622	bandeja
atarsel	-1	11622	atárselo
antebraz	-1	11622	antebrazo
ponient	-1	11622	Poniente
consiguem	-1	11622	Consígueme
ceboll	-1	11622	cebollas
khaleesi	-1	11622	khaleesi
vanaglori	-1	11622	vanagloriar
fanfarron	-1	11622	fanfarronear
magist	-1	11622	magíster
illyri	-1	11622	Illyrio
esmer	-1	11622	esmero
barrig	-1	11622	barriga
anud	-1	11622	anudado
chalec	-1	11622	chaleco
tachon	-1	11622	tachonado
pezon	-1	11622	pezones
galop	-1	11622	galopó
inmacul	-1	11622	Inmaculados
labr	-1	11622	labrados
anchas	-1	11622	anchas
centell	-1	11622	centelleaba
ademan	-1	11622	ademán
meereen	-1	11622	meereenos
espuel	-1	11622	espuelas
ecos	-1	11622	ecos
explan	-1	11622	explanada
engorr	-1	11622	engorrosa
desv	-1	11622	desvió
relinch	-1	11622	relincho
parapet	-1	11622	parapetos
desenvain	-1	11622	desenvainar
convin	-1	11622	convino
saet	-1	11622	saetas
acuclill	-1	11622	acuclillo
bosquecill	-1	11622	bosquecillo
dothrakis	-1	11622	dothrakis
dulc	-1	11622	dulce
ciruel	-1	11622	ciruela
alab	-1	11622	alabanza
trenz	-1	11622	trenzaríamos
campanill	-1	11622	campanilla
jhiqui	-1	11622	Jhiqui
tintin	-1	11622	tintineantes
tendras	-1	11622	tendrás
vientr	-1	11622	vientre
enrojec	-1	11622	enrojecido
palmadit	-1	11622	palmaditas
ensangrent	-1	11622	ensangrentada
sabras	-1	11622	sabrás
khal	-1	11622	Khal
missandei	-1	11622	Missandei
yunki	-1	11622	yunkio
curat	-1	11622	curativas
regañin	-1	11622	regañina
hombreton	-1	11622	hombretón
curador	-1	11622	curador
restañ	-1	11622	restañara
vinagr	-1	11622	vinagre
empap	-1	11622	empapadas
cojin	-1	11622	cojines
dragon	-1	11622	dragones
irri	-1	11622	Irri
graner	-1	11622	graneros
datil	-1	11622	dátiles
bodeg	-1	11622	bodegas
salazon	-1	11622	salazón
cofr	-1	11622	cofres
mormont	-1	11622	Mormont
tunel	-1	11622	túnel
cauc	-1	11622	cauce
cenag	-1	11622	cenagoso
skahazadh	-1	11622	Skahazadhan
grole	-1	11622	Groleo
eche	-1	11622	eche
viserys	-1	11622	Viserys
legu	-1	11622	leguas
trabuquet	-1	11622	trabuquetes
derru	-1	11622	derruir
hirv	-1	11622	hirviendo
fre	-1	11622	freir
vosotr	-1	11622	vosotros
quemadur	-1	11622	quemaduras
dadn	-1	11622	Dadnos
forraj	-1	11622	forraje
mul	-1	11622	mulas
extra	-1	11622	extrae
diarre	-1	11622	diarrea
colerin	-1	11622	colerina
fabul	-1	11622	fabulosa
aegon	-1	11622	Aegon
prosegu	-1	11622	proseguid
pent	-1	11622	Pentos
crisp	-1	11622	crispó
khals	-1	11622	khals
picot	-1	11622	picoteaban
bracit	-1	11622	bracitos
flac	-1	11622	flacos
salpic	-1	11622	salpicada
verj	-1	11622	verjas
laberint	-1	11622	laberinto
bich	-1	11622	bichos
vos	-1	11622	vos
encog	-1	11622	encogiéndose
reverent	-1	11622	reverencia
viserion	-1	11622	Viserion
alas	-1	11622	alas
almendr	-1	11622	almendrados
braavosi	-1	11622	braavosi
ibbenes	-1	11622	ibbenés
qohoriens	-1	11622	qohoriense
dorniens	-1	11622	dorniense
oia	-1	11622	oía
targary	-1	11622	Targaryen
inquisit	-1	11622	inquisitiva
contraj	-1	11622	contrajo
usurp	-1	11622	Usurpador
regi	-1	11622	regio
campanit	-1	11622	campanitas
querras	-1	11622	Querrás
risit	-1	11622	risita
amamant	-1	11622	amamantan
desnumer	-1	11622	Desnumerado
lord	-1	11622	Lord
drogon	-1	11622	Drogon
rasc	-1	11622	rascaba
cabalg	-1	11622	cabalgará
plantit	-1	11622	plantita
sauc	-1	11622	sauce
avisp	-1	11622	avispa
silvestr	-1	11622	silvestre
asperul	-1	11622	aspérula
junc	-1	11622	junco
filos	-1	11622	filoso
retam	-1	11622	retama
zarz	-1	11622	zarza
turbador	-1	11622	turbadora
amar	-1	11622	amar
haz	-1	11622	haz
ensill	-1	11622	ensillen
protej	-1	11622	protejan
ire	-1	11622	Iré
tokars	-1	11622	tokars
ribet	-1	11622	ribeteados
liron	-1	11622	lirones
delici	-1	11622	delicias
estac	-1	11622	estacas
arrodill	-1	11622	arrodillaban
balerion	-1	11622	Balerion
saduleon	-1	11622	Saduleon
merax	-1	11622	Meraxes
vhag	-1	11622	Vhagar
travesur	-1	11622	Travesura
valyri	-1	11622	Valyria
ase	-1	11622	aseados
ruidos	-1	11622	ruidoso
asar	-1	11622	asar
chisporrot	-1	11622	chisporroteaba
espeton	-1	11622	espetón
corret	-1	11622	corretearon
revoltill	-1	11622	revoltillo
dadiv	-1	11622	dádivas
bendec	-1	11622	bendecirla
harapient	-1	11622	harapiento
tiron	-1	11622	tirón
traidor	-1	11622	traidora
melon	-1	11622	melón
cortart	-1	11622	cortarte
tet	-1	11622	tetas
estoc	-1	11622	estocada
largat	-1	11622	lárgate
fint	-1	11622	finta
latig	-1	11622	látigo
bastard	-1	11622	Bastardo
tambal	-1	11622	tambaleante
felin	-1	11622	felino
pantorrill	-1	11622	pantorrilla
despect	-1	11622	despectivo
sien	-1	11622	sien
cuchill	-1	11622	cuchillos
enloquec	-1	11622	enloquecido
frenes	-1	11622	frenesí
asqu	-1	11622	asqueada
avergonz	-1	11622	avergonzado
llevadm	-1	11622	Llevadme
arrebuj	-1	11622	arrebujada
alarmar	-1	11622	alarmaros
pagadsel	-1	11622	pagádsela
braav	-1	11622	Braavos
asint	-1	11622	asintió
arme	-1	11622	arme
sois	-1	11622	sois
friald	-1	11622	frialdad
erais	-1	11622	erais
swann	-1	11622	Swann
decidmel	-1	11622	Decídmelo
qarth	-1	11622	Qarth
buscar	-1	11622	buscaros
congestion	-1	11622	congestionado
barrist	-1	11622	Barristan
selmy	-1	11622	Selmy
baratheon	-1	11622	Baratheon
graj	-1	11622	grajo
pestañ	-1	11622	pestañear
rhaeg	-1	11622	Rhaegar
verm	-1	11622	verme
matarrey	-1	11622	Matarreyes
deshonr	-1	11622	deshonraron
malv	-1	11622	malvado
avergüenz	-1	11622	avergüenza
complacer	-1	11622	complaceros
trident	-1	11622	Tridente
haber	-1	11622	haberos
lannist	-1	11622	Lannister
varys	-1	11622	Varys
oi	-1	11622	oí
decidsel	-1	11622	Decídselo
alet	-1	11622	aleteaba
enjaul	-1	11622	enjaulado
conocer	-1	11622	conoceros
llevar	-1	11622	llevaros
morr	-1	11622	morro
rhaegal	-1	11622	Rhaegal
eruct	-1	11622	eructó
llamar	-1	11622	llamarada
asad	-1	11622	asado
marcha	-1	11622	Marchaos
fier	-1	11622	fiero
mejill	10	11622	mejillas
agit	14	11622	agitaba
terraz	33	11622	terrazas
murall	41	11622	murallas
curv	42	11622	curvo
escup	69	11622	escupía
cintur	76	11622	cintura
muec	85	11622	mueca
medit	90	11622	meditar
costill	99	11622	costillas
derret	103	11622	derretirías
aguard	114	11622	aguardó
puerc	147	11622	puerca
revolote	158	11622	revoloteó
entretuv	171	11622	entretuvo
entrechoc	174	11622	entrechocaban
reb	176	11622	rebosar
oli	179	11622	olían
monton	202	11622	montón
maldicion	206	11622	Maldición
baston	254	11622	bastón
gruñ	270	11622	gruñó
reir	331	11622	reír
clamor	359	11622	clamor
tumb	424	11622	tumbarse
esquiv	459	11622	esquivar
viril	487	11622	virilidad
semill	492	11622	semillas
rigidez	512	11622	rigidez
infiern	545	11622	infierno
taj	552	11622	tajo
cag	662	11622	cagar
na	667	11622	na
estabais	673	11622	estabais
vain	725	11622	vaina
persigu	756	11622	persiguiera
aprovision	768	11622	aprovisionada
alfombr	772	11622	alfombras
campament	818	11622	campamento
galer	946	11622	galeras
risot	969	11622	risotada
prometedor	1078	11622	prometedoras
parpade	1170	11622	parpadeo
cuer	1179	11622	cuero
incendiari	1223	11622	incendiarios
vistaz	1292	11622	vistazo
asedi	1306	11622	asediadores
cayer	1356	11622	cayera
zanj	1366	11622	zanjas
gigantesc	1409	11622	gigantesca
pard	1551	11622	pardas
atuend	1579	11622	atuendo
fet	1586	11622	fetos
cabell	1590	11622	cabello
oyo	1646	11622	oyó
desmont	1746	11622	desmontaba
contig	1810	11622	contigo
ahog	1871	11622	ahogado
ocas	1956	11622	Ocaso
hoguer	2009	11622	hoguera
ancian	2013	11622	anciano
miel	2044	11622	miel
aull	2130	11622	aullaban
corrig	2167	11622	corrigió
prescind	2280	11622	prescindir
exili	2300	11622	exiliado
dijer	2326	11622	dijera
princes	2379	11622	princesa
aceitun	2412	11622	aceitunas
ensart	2414	11622	ensartar
onde	2431	11622	ondeando
frunc	2443	11622	fruncir
ceñ	2444	11622	ceño
carner	2460	11622	carnero
tortug	2467	11622	tortugas
chasqu	2494	11622	chasquido
banquet	2548	11622	banquetes
bufon	2691	11622	bufón
bendicion	2899	11622	bendición
sonreir	2920	11622	sonreír
llan	2940	11622	llano
ariet	2948	11622	arietes
amos	3028	11622	Amos
penos	3097	11622	penoso
dor	3123	11622	dorado
enferm	3128	11622	enfermos
asta	3135	11622	asta
alzo	3145	11622	alzó
abriran	3176	11622	abrirán
embaraz	3247	11622	embarazada
recompens	3405	11622	recompensa
ahum	3409	11622	ahumada
valent	3461	11622	valentía
excus	3513	11622	excusa
distraccion	3539	11622	distracción
riber	3711	11622	ribera
bastion	3758	11622	bastiones
furi	3811	11622	furia
caotic	3814	11622	caótico
pleg	4048	11622	plegadas
entrañ	4073	11622	entrañas
salient	4133	11622	saliente
monumental	4139	11622	monumental
sargent	4248	11622	sargentos
ballest	4289	11622	ballestas
arco	4435	11622	arco
coj	4479	11622	cojo
provision	4727	11622	provisiones
escuder	4844	11622	escudero
acaric	4891	11622	acarició
frot	4896	11622	frotaba
oler	4902	11622	olería
vag	4907	11622	vagamente
oso	4909	11622	oso
cuern	4910	11622	cuernos
espum	4925	11622	espuma
alzab	4926	11622	alzaba
bris	4941	11622	brisa
sangrient	4952	11622	sangrienta
lio	4965	11622	lío
olas	4977	11622	olas
sacud	4996	11622	sacudía
hiler	5005	11622	hileras
doncell	5022	11622	doncellas
rabi	5076	11622	rabia
inofens	5080	11622	inofensiva
potabl	5099	11622	potable
gras	5105	11622	grasa
arroll	5140	11622	arrollarlo
edif	5147	11622	edificación
atad	5151	11622	atados
coster	5153	11622	costero
excit	5184	11622	excitante
gallin	5217	11622	gallina
susurr	5247	11622	susurros
quebr	5332	11622	quebrado
fui	5334	11622	fui
juventud	5352	11622	juventud
moz	5355	11622	moza
abras	5367	11622	abrasen
retorc	5376	11622	retorció
obsequi	5389	11622	obsequiado
tor	5396	11622	Toro
pein	5417	11622	peinado
estup	5423	11622	estúpido
vi	5439	11622	vi
corpulent	5446	11622	corpulento
replic	5453	11622	replicó
revent	5476	11622	reventar
retroced	5479	11622	retrocedido
afeit	5482	11622	afeitó
despreci	5489	11622	desprecio
intact	5490	11622	intacta
estrib	5494	11622	estribos
despaci	5510	11622	despacio
esclav	5534	11622	esclavo
tio	5536	11622	tío
pic	5564	11622	picó
cadav	5573	11622	cadáver
guardaespald	5589	11622	guardaespaldas
vier	5618	11622	viera
protector	5623	11622	protector
mestiz	5748	11622	mestizo
mosc	5751	11622	mosca
agon	5804	11622	agonía
vea	5833	11622	vea
anticip	5890	11622	anticiparse
interrump	5928	11622	interrumpió
brot	5946	11622	brotaba
echars	5948	11622	echarse
furios	6007	11622	furiosa
monstruos	6025	11622	monstruosa
desembarc	6077	11622	Desembarco
escud	6138	11622	escudo
corder	6140	11622	cordero
impacient	6159	11622	impaciencia
explor	6183	11622	exploradores
tens	6188	11622	tenso
titan	6282	11622	Titán
ancho	6334	11622	ancho
verdad	6358	11622	verdades
valer	6361	11622	valerosos
adond	6377	11622	Adónde
calur	6381	11622	calurosa
planific	6405	11622	planificaba
desafi	6450	11622	desafiaba
aconsej	6468	11622	aconsejáis
ben	6499	11622	Ben
