stem	rarity (-1 == wasn\'t in corpora, lower is more rare)	total corpora words	first word to make stem
viol	6515	11622	violado
corrobor	6546	11622	corroboró
sobrevol	6603	11622	sobrevolaríamos
negligent	6629	11622	negligente
brav	6655	11622	Bravo
sonr	6660	11622	sonriendo
escaler	6661	11622	escaleras
orin	6665	11622	orina
desnud	6679	11622	desnudos
tend	6681	11622	tendiéndole
turb	6682	11622	turba
matrimoni	6683	11622	matrimonio
suplic	6714	11622	suplicar
destell	6726	11622	destellos
envenen	6735	11622	envenenados
olor	6737	11622	olor
rastr	6748	11622	rastro
confin	6759	11622	confines
arañ	6796	11622	Araña
tus	6800	11622	tus
prodigi	6811	11622	prodigio
conmocion	6814	11622	conmocionada
hum	6816	11622	humo
tembl	6817	11622	temblar
cul	6819	11622	culo
mierd	6836	11622	mierda
derrumb	6859	11622	derrumbando
inspir	6871	11622	inspira
huir	6878	11622	huir
nariz	6885	11622	nariz
cloac	6898	11622	cloacas
asquer	6899	11622	asqueroso
mare	6909	11622	marea
aplast	6916	11622	aplastara
desparram	6928	11622	desparramadas
cuell	7016	11622	cuello
desemboc	7042	11622	desembocaba
voc	7078	11622	voces
aplaud	7099	11622	aplaudir
vendr	7148	11622	vendrías
traicion	7169	11622	traicionó
sonor	7197	11622	sonoras
tron	7224	11622	Trono
describ	7271	11622	describiera
valient	7292	11622	valientes
pabellon	7326	11622	pabellón
mentir	7365	11622	mentira
elig	7383	11622	eliges
vel	7403	11622	velas
var	7459	11622	varas
hered	7467	11622	heredado
propong	7487	11622	Propongo
cuerv	7531	11622	Cuervos
isleñ	7548	11622	isleño
ris	7623	11622	risas
resid	7637	11622	residía
got	7639	11622	gota
escam	7643	11622	escamas
ladrill	7646	11622	ladrillo
devor	7647	11622	devorar
devast	7658	11622	devastada
percib	7674	11622	percibieron
pat	7679	11622	patas
calient	7688	11622	caliente
soñ	7694	11622	soñaba
abuel	7698	11622	abuela
arranc	7705	11622	arrancó
cruel	7716	11622	cruel
poll	7740	11622	polla
imit	7749	11622	imitando
muñec	7758	11622	muñeca
cur	7761	11622	curar
nervios	7774	11622	nervioso
ment	7794	11622	menta
respir	7795	11622	respiró
ko	7813	11622	Ko
bruj	7822	11622	bruja
guerrer	7827	11622	guerreros
pared	7828	11622	paredes
disc	7830	11622	disco
chill	7832	11622	chilló
alient	7837	11622	aliento
desperdici	7850	11622	desperdiciar
ochent	7868	11622	ochenta
arriesg	7890	11622	arriesgar
idiom	7904	11622	idiomas
simpat	7926	11622	simpático
artes	7936	11622	artes
encant	8000	11622	encantará
trescient	8006	11622	trescientas
docen	8010	11622	docena
vergüenz	8027	11622	vergüenza
manch	8039	11622	manchas
echo	8060	11622	echó
chiquill	8081	11622	chiquillos
barril	8088	11622	barriles
agil	8100	11622	agilidad
estaran	8121	11622	estarán
incertidumbr	8124	11622	incertidumbre
desvi	8128	11622	desviaba
os	8140	11622	os
aclam	8141	11622	aclamar
cinturon	8175	11622	cinturón
gris	8195	11622	Gris
perr	8196	11622	perro
bañ	8201	11622	baño
pajar	8221	11622	pájaros
repent	8225	11622	repente
acer	8234	11622	acero
torment	8255	11622	Tormenta
roz	8262	11622	rozó
rez	8269	11622	rezaban
lat	8312	11622	latidos
perec	8325	11622	perecerán
hierr	8335	11622	hierro
aren	8337	11622	arenas
confus	8341	11622	confusa
polv	8359	11622	polvo
excav	8370	11622	excavar
cap	8378	11622	capa
saqu	8383	11622	saquear
vieron	8386	11622	Vieron
cai	8396	11622	caía
habil	8398	11622	habilidad
golpe	8411	11622	golpeó
vay	8438	11622	vaya
sint	8456	11622	sintió
leon	8474	11622	león
pies	8478	11622	pies
madur	8506	11622	madura
bienven	8530	11622	bienvenida
intervin	8542	11622	intervino
cae	8546	11622	cae
desped	8555	11622	despedido
desacuerd	8564	11622	desacuerdo
burl	8571	11622	burlándose
lav	8577	11622	lavado
choc	8588	11622	chocó
pech	8613	11622	pecho
suspir	8628	11622	suspiró
arbol	8629	11622	árboles
gord	8638	11622	gordo
rod	8643	11622	rodó
sabi	8653	11622	Sabia
vac	8668	11622	vacían
carn	8678	11622	carne
atraves	8683	11622	atravesarlo
mader	8685	11622	madera
pal	8687	11622	palo
perdon	8700	11622	perdón
cod	8702	11622	codo
debilit	8720	11622	debilitado
aceit	8726	11622	aceite
brill	8729	11622	brillaban
tar	8736	11622	tareas
dam	8751	11622	dama
guardi	8754	11622	Guardia
estil	8758	11622	estilo
fiebr	8760	11622	fiebres
cay	8777	11622	cayó
veteran	8811	11622	veterano
infantil	8832	11622	infantil
turn	8834	11622	turno
soport	8843	11622	soportar
redond	8861	11622	redondo
prolong	8881	11622	prolongado
inest	8886	11622	inestable
acced	8893	11622	accedéis
promet	8906	11622	prometió
ti	8907	11622	ti
bloque	8923	11622	bloqueó
adult	8925	11622	adultos
examin	8927	11622	examinar
muer	8957	11622	muera
muchach	8958	11622	muchacho
oid	8960	11622	oídos
pec	8961	11622	pecados
nobl	8962	11622	noble
arrastr	8975	11622	arrastrada
humed	8982	11622	húmeda
dab	9000	11622	daba
brutal	9001	11622	brutales
espald	9006	11622	espaldas
clarid	9009	11622	claridad
lent	9014	11622	lento
esquin	9047	11622	esquinas
sext	9054	11622	sexto
indign	9060	11622	indignos
rebot	9061	11622	rebotó
centen	9065	11622	centenar
pronunci	9083	11622	pronunciar
tempran	9087	11622	temprano
defensor	9095	11622	defensores
derrib	9099	11622	derribaremos
alej	9107	11622	alejarnos
suministr	9121	11622	suministro
pondr	9146	11622	pondríamos
ole	9156	11622	oleada
disciplin	9161	11622	disciplina
sesent	9165	11622	sesenta
bah	9166	11622	bahía
destroz	9170	11622	destrozada
ridicul	9202	11622	ridículo
hoj	9204	11622	hoja
rop	9205	11622	ropa
inmens	9213	11622	inmensa
sorpres	9216	11622	sorpresa
rodill	9221	11622	rodillas
espectacul	9227	11622	espectáculo
perfect	9234	11622	perfecto
hero	9242	11622	héroe
veng	9246	11622	vengan
sill	9248	11622	silla
inclin	9250	11622	inclinando
desesper	9251	11622	desesperados
moren	9256	11622	Moreno
gui	9265	11622	guiaría
brom	9281	11622	bromas
conscient	9287	11622	consciente
culp	9304	11622	culpa
ram	9305	11622	Ramas
promes	9307	11622	promesas
espad	9333	11622	espadas
engañ	9346	11622	engañado
voy	9371	11622	voy
repit	9378	11622	repitió
devolv	9379	11622	devolvió
rot	9385	11622	rota
comand	9391	11622	comandante
cadaver	9393	11622	cadáveres
aparent	9396	11622	aparentaba
individu	9410	11622	individuo
hach	9414	11622	hachas
dient	9421	11622	dientes
menud	9422	11622	menudo
bes	9423	11622	besara
derram	9429	11622	derramar
piern	9434	11622	piernas
jur	9437	11622	juró
sonris	9439	11622	sonrisa
agarr	9440	11622	agarró
puñ	9442	11622	puños
espos	9464	11622	esposas
consig	9469	11622	consigue
oliv	9474	11622	olivar
vin	9476	11622	vino
carec	9480	11622	carecemos
confund	9485	11622	confundió
desconoc	9503	11622	desconocidos
detuv	9525	11622	detuvo
caball	9535	11622	caballo
toqu	9540	11622	toquen
frut	9547	11622	fruta
memori	9557	11622	memoria
fras	9561	11622	frase
capitan	9582	11622	capitanes
oxid	9586	11622	oxidadas
acas	9599	11622	Acaso
cuid	9600	11622	cuidaba
dir	9602	11622	diréis
rostr	9605	11622	rostros
cubiert	9609	11622	cubierto
escond	9617	11622	escondan
drog	9621	11622	Drogo
atrev	9623	11622	atreverían
entiend	9624	11622	entiendo
cualqu	9626	11622	cualquiera
detras	9629	11622	detrás
debaj	9642	11622	debajo
proteg	9645	11622	protegiera
dan	9651	11622	dan
hues	9653	11622	hueso
expuls	9656	11622	expulsado
entro	9660	11622	entró
absurd	9668	11622	absurdamente
ocult	9673	11622	ocultado
tiend	9686	11622	tienda
partidari	9688	11622	partidarios
fals	9689	11622	falso
alegr	9692	11622	alegra
instant	9694	11622	instante
jamas	9695	11622	jamás
lagrim	9697	11622	lágrimas
cubr	9705	11622	cubría
dispar	9715	11622	disparar
bat	9723	11622	batió
confi	9724	11622	confiar
extrañ	9732	11622	extrañar
coc	9739	11622	coca
aprend	9746	11622	aprendiera
aguant	9756	11622	aguantar
vient	9777	11622	viento
adversari	9780	11622	adversario
pie	9782	11622	pie
tendran	9792	11622	Tendrán
hambr	9793	11622	hambre
tamañ	9796	11622	tamaño
ded	9816	11622	dedos
labi	9817	11622	labios
escuch	9820	11622	escucharé
grit	9822	11622	gritando
alrededor	9829	11622	alrededor
bronc	9841	11622	bronce
estim	9845	11622	estima
insult	9849	11622	insultos
pen	9858	11622	pene
veint	9861	11622	veinte
pel	9864	11622	pelo
equivoc	9865	11622	equivocáis
amor	9867	11622	amor
encim	9870	11622	encima
arregl	9871	11622	arregló
pensamient	9877	11622	pensamientos
etern	9883	11622	Eternos
avis	9888	11622	avisado
castill	9900	11622	castillos
des	9901	11622	deseáis
lluvi	9905	11622	lluvia
gir	9906	11622	giró
piedr	9907	11622	piedra
altas	9917	11622	altas
despert	9923	11622	despertó
vision	9926	11622	visión
beb	9941	11622	bebé
robert	9942	11622	Robert
pesc	9946	11622	pescado
flot	9948	11622	flotaban
desiert	9950	11622	desierto
trop	9951	11622	tropas
comprend	9977	11622	comprender
mor	9982	11622	morir
cosech	9986	11622	cosechando
debil	9987	11622	débil
alla	9992	11622	allá
sujet	9993	11622	sujetaba
vio	10002	11622	vio
sup	10003	11622	supe
lin	10005	11622	líneas
dieron	10007	11622	dieron
avanc	10012	11622	avance
acces	10029	11622	acceso
sombr	10036	11622	sombra
silenci	10037	11622	silencio
fil	10038	11622	filo
asalt	10041	11622	asalto
oest	10054	11622	oeste
estoy	10055	11622	estoy
escap	10072	11622	escapé
pos	10073	11622	posó
caballer	10078	11622	caballero
vei	10084	11622	veían
voz	10089	11622	voz
pobr	10093	11622	pobre
casc	10100	11622	cascos
vigil	10108	11622	vigilar
brillant	10117	11622	brillante
separ	10123	11622	separadas
ocho	10124	11622	ocho
barb	10134	11622	barba
ir	10136	11622	ir
fueg	10153	11622	fuego
constru	10160	11622	construimos
azul	10163	11622	azul
dig	10165	11622	digo
enorm	10166	11622	enorme
caer	10168	11622	caer
quit	10180	11622	quitarme
sient	10182	11622	sienten
cercan	10183	11622	cercana
adelant	10194	11622	adelantó
apart	10199	11622	apartó
permis	10201	11622	permiso
propon	10210	11622	proponéis
arrib	10216	11622	Arriba
semej	10219	11622	semejante
vol	10225	11622	volando
limpi	10227	11622	limpios
adel	10232	11622	Adelante
suert	10233	11622	suerte
torn	10234	11622	torno
altur	10237	11622	altura
torr	10238	11622	torres
mont	10245	11622	montó
enemig	10248	11622	enemigos
bast	10251	11622	basta
mied	10253	11622	miedo
poder	10260	11622	poderoso
siguient	10261	11622	siguiente
sold	10264	11622	soldados
famos	10268	11622	famoso
corazon	10269	11622	corazón
romp	10275	11622	rompa
negat	10278	11622	negativa
signif	10279	11622	Significa
pront	10282	11622	pronto
adecu	10285	11622	adecuados
soy	10289	11622	Soy
guard	10290	11622	guardarse
acerc	10292	11622	acercó
enter	10300	11622	enteró
marin	10301	11622	marina
escas	10307	11622	escasas
cien	10310	11622	cien
rio	10317	11622	río
imagin	10320	11622	imaginar
incorpor	10330	11622	incorporó
her	10334	11622	herido
oscur	10335	11622	oscuridad
ejercit	10338	11622	ejército
sean	10339	11622	sean
cruz	10341	11622	cruzadas
mer	10342	11622	Mero
har	10343	11622	hará
dañ	10359	11622	daño
palm	10360	11622	palmos
ambas	10361	11622	ambas
suy	10363	11622	suyos
batall	10368	11622	batalla
entrar	10379	11622	entrar
val	10382	11622	vale
amarill	10388	11622	amarillos
quem	10389	11622	quemando
col	10390	11622	cola
mur	10393	11622	muros
mat	10394	11622	matara
cieg	10395	11622	ciega
extend	10396	11622	extendió
atac	10399	11622	atacarlo
boc	10400	11622	bocas
seran	10404	11622	serán
ciel	10406	11622	cielo
rap	10410	11622	Rápido
ejercici	10417	11622	ejercicios
doc	10418	11622	doce
delant	10419	11622	delante
piens	10420	11622	pienso
mision	10423	11622	misión
profund	10428	11622	profundos
nort	10434	11622	norte
tu	10437	11622	tu
sangr	10438	11622	sangre
deten	10459	11622	detenerse
crec	10460	11622	crecen
edad	10462	11622	edad
hag	10471	11622	hagáis
imag	10474	11622	imagen
mis	10475	11622	mis
just	10481	11622	justa
secret	10487	11622	secretos
convenc	10490	11622	convencido
algui	10496	11622	alguien
peor	10498	11622	peor
veloc	10501	11622	velocidad
siqu	10503	11622	siquiera
reserv	10507	11622	Reservad
atras	10516	11622	atrás
advirt	10520	11622	advirtió
serv	10524	11622	serviría
escrib	10533	11622	escriba
braz	10534	11622	brazo
ros	10538	11622	rosas
compar	10543	11622	comparación
facilit	10551	11622	facilitaba
hic	10555	11622	hicieron
sueñ	10558	11622	sueño
trafic	10566	11622	traficantes
joven	10568	11622	jóvenes
quis	10570	11622	quiso
capaz	10575	11622	capaz
honor	10577	11622	honor
ciudad	10579	11622	ciudades
iba	10580	11622	iba
abandon	10586	11622	abandonó
toc	10587	11622	tocaba
anim	10588	11622	animaban
respuest	10589	11622	respuesta
supuest	10591	11622	supuesto
barc	10597	11622	barcos
salud	10601	11622	saludo
dese	10603	11622	deseo
avanz	10605	11622	avanzar
apen	10607	11622	apenas
luz	10615	11622	luz
plat	10616	11622	plateado
veran	10619	11622	Verano
alta	10620	11622	alta
liber	10623	11622	liberó
intencion	10625	11622	intención
demasi	10627	11622	demasiado
extrem	10628	11622	extremo
insist	10629	11622	insistió
imped	10630	11622	impedir
priv	10631	11622	Privado
dispon	10633	11622	dispone
viej	10640	11622	viejos
