arpía
marfil
puntiagudos
colmillos
alas
dragón
ponzoñosa
escorpión
Ghis
Dany
Valyria
brasas
Jorah
astaporis
ghiscario
grillete
Astapor
Dile
Poniente
Kraznys
mo
Nakloz
nublados
acento
ronco
salpicaba
argot
inquisitiva
denotaban
Naath
dothraki
alaba
traductora
ladeó
frambuesas
prominente
barbita
tokar
ribeteado
látigo
Inmaculados
prisa
marquesina
sudaba
sandalias
adoquines
ondulaciones
trémulas
pirámides
escalonadas
pétreos
vestimenta
taparrabos
yelmos
cónicos
púa
afilada
túnicas
guateadas
Alteza
encomienden
golpecito
novecientos
Díselo
Arstan
Barbablanca
jinetes
Mormont
Balerion
libremente
asaetearían
Matadragones
maloliente
mía
hediondas
reverencia
Puaj
almendrados
dothrakis
lhazareenos
Qarth
ébano
ambarino
hirsuto
khalasar
castaños
eunucos
Jothiel
oírlo
huele
Lhazar
chasqueó
alzar
soltó
risita
Lys
arrodilló
desenvainó
empuñadura
estocadas
torso
vientre
pezón
apremiante
mugir
haberos
veis
belladona
larvas
oigan
Yunkai
Meereen
testículos
erecciones
Ciudadela
septones
septas
idiota
vuestros
saqueo
adornaba
Pregúntale
glifos
Pulga
Sapo
Gusano
sabandijas
anochecer
berreante
desmayar
mocosa
cachorrito
echamos
golpeteaba
mercader
obedezcan
armadura
oyera
esclavitud
opondrán
vos
Joffrey
estandartes
Rhaegar
titubeó
Aerys
magíster
Illyrio
emisarios
Angosto
Matarreyes
Usurpador
remarcó
encogiéndose
corsario
Recuérdale
Daenerys
Arde
Aegon
orondo
follando
adules
malcríes
atiborres
criadillas
mostraros
delicioso
guiso
pulpo
nonato
relamió
hermosas
míos
farolillos
suena
dulce
Douquor
untado
Dale
litera
Aggo
Jhogo
torpeza
polvillo
pavimentadas
arremolinaba
cunetas
Abrid
cabalgaba
desenrolló
elefante
lomo
despellejado
semblante
hosco
boquiabierto
recamado
faldas
plisadas
trenzado
cabelleras
entrelazadas
Pentos
reata
restallido
capataz
asnos
hojuelas
lapislázuli
peineta
achaparrado
tatuaje
marchaos
endurezca
Haceos
Myr
Tyrosh
mercenarios
Braavos
magísteres
arcontes
Khal
ofenderos
palmaditas
Irri
Jhiqui
catre
yacer
cambiante
atormentada
tímidamente
camarote
sonrojado
vello
estremeció
Drogon
acurrucarse
presuntuoso
campanilla
tintineó
orilla
enredaderas
verja
arcilla
desintegrando
muñón
pilones
sosegador
Belwas
pernil
asado
grasienta
Sois
bodegas
popa
tétrico
hedor
erosionados
Khaleesi
abofeteó
disgustado
abofeteada
fuerais
pocilga
Groleo
disponga
blancuzco
nasales
Viserion
aleteó
posársele
enroscó
relinchan
mamparos
estáis
Déjame
baranda
hablaros
fuegodragón
Targaryen
revive
acariciar
Decidme
fiero
nuez
horrorosa
Vaes
Dothrak
paja
Qohor
colinas
propensos
khals
leguas
Norvos
cofre
Viserys
armaba
Rocadragón
defiéndelo
Tridente
hombretón
rubíes
sillón
mejillas
gelatina
agitaron
surcan
terrazas
murallas
curvada
desplomen
demonios
mueca
meditáis
costillas
aguardar
dormitorio
ves
rebosantes
olían
perfumado
Maldición
resucitado
gruñó
vasto
abominación
engendrar
sesos
suavidad
reía
remolino
bofetada
magnífica
Tumbada
soplaba
esquivarla
virilidad
Malgasto
cenizas
máscara
amarillenta
infierno
tajos
fusta
decrépitos
anteayer
andar
barracones
durmió
instintos
pendía
imperativo
meados
oníricas
demencia
Apretó
remotas
parpadeó
cráneos
cuero
involuntarias
tentarlos
rítmico
astuto
fértiles
hormigas
coraza
cabello
oyó
bestia
leales
desmontar
traicionero
estatura
ingredientes
imponentes
regateando
ocaso
fresco
mendiga
anciano
guarnición
miel
corrigió
exiliado
perspicaz
castos
colgaba
ondeen
castración
fruncido
ceñía
complace
chasquear
astillas
festines
cobriza
dureza
estrangule
cavas
temperamento
ruega
desagrado
sonreír
Amos
dorado
alzó
juramento
valentía
rumbo
espoleados
ausente
deslizó
Bondadoso
cólera
plegados
entrañas
barcazas
Marrón
carro
amabilidad
seña
escenifican
desconfiaba
echaron
escudero
teñidos
repentinas
acarició
oso
cuernos
alzaban
muslos
brisa
obediencia
cabra
pausada
olas
sacudió
hilera
doncellas
ovejas
brusco
rabia
doscientas
impasible
edificaciones
azufre
excitante
diminuta
ráfaga
susurraba
oír
mordió
perduraba
loto
encienden
recio
encerrar
abrasador
poderío
toro
disculpó
estúpida
Amo
vi
corpulentos
replicó
retrocedió
afeitadas
martilleados
negación
caigan
despacio
esclavos
murmuró
tallada
picaba
cadáver
monederos
paciencia
lameré
mestizos
moscas
sulfurosas
quietos
afianzarse
magra
disimulaba
impotente
trote
di
dialecto
longitud
traducción
furiosa
monstruosa
desembarcó
fosos
escudo
cordero
tensas
compradores
valerosos
Adónde
decenas
festivos
humilde
violadas
tranquilizadoras
abra
sobrevolaran
proa
sonrió
murciélago
amable
desnudo
tendió
fingir
carcajada
suplico
olor
rastro
legiones
sudor
gruesa
descendentes
dándole
extiende
humo
delicadas
querría
derrumbando
traído
sollozar
nobleza
nariz
poblada
esencia
estrepitosa
marea
desorientada
desparramen
amanecer
fantásticas
disfrazan
conciliar
mercancía
traicionarme
aroma
Trono
modesto
desbordaban
satisfacerla
valientes
riguroso
típico
mentira
eligen
inquietos
Ojalá
velos
esforzó
copiosamente
varas
mango
deprisa
noventa
anhelen
águila
plancha
risas
ladrillo
devorará
desconcertado
patas
lloran
soñar
Arrancáis
cruel
ignorantes
ofende
sinceros
respirar
asuste
guerreros
Empiezan
disco
chilló
ira
hilo
traducidas
arriesgada
idioma
estancias
catorce
sucumbirán
encantado
cruce
adjudicarse
docena
mueven
manchadas
cuenco
raíz
barril
estarán
os
sembrados
torturar
lema
cinturones
cariño
grises
perros
bañado
azar
repente
nube
acero
amante
leer
Tormenta
útiles
maravillas
musculoso
plagados
vil
inocentes
verlos
Hierro
arenas
suave
descubierto
Polvo
demoró
alivio
capas
rango
abajo
saquear
calzaban
maestros
caía
hábiles
vayamos
tentaciones
atraer
sintió
desagradable
cerdos
pies
rígidos
inspeccionara
locura
penumbrosas
pechos
árboles
rodeaban
monstruo
lengua
decorado
solemne
Valle
veo
vaca
bebés
carne
madera
palo
eres
sentimientos
placer
codo
salga
curiosidad
aceitada
brillaba
probar
celosía
guardias
estilo
tono
locos
cayado
atenderla
asomó
legítima
soportara
garras
redondo
prolongó
accedió
prometió
violación
apostar
millar
mueren
muchachas
oído
nobles
ritmo
húmeda
Roca
daban
espalda
sensible
lento
darse
conquistadores
Imperio
príncipe
puta
resisten
iban
centenar
sensación
arrebataron
despojarse
Orgullo
defensores
derribadas
alejó
rubio
pondrían
disciplina
bahía
sobrevive
tripulación
pareja
hierba
mortales
sucios
espectáculo
ojo
inclinaba
columna
siguieron
ligeramente
baratas
música
bruta
descendió
triste
promesas
tontería
retenerlo
echara
espada
sierra
primarios
repitió
Dominio
comandantes
Islas
blanda
dientes
menudo
besado
derramaré
dolor
piernas
lección
sonrisa
agarré
sitio
gigante
intenso
vino
repetirse
disfrutaba
vestían
lugares
gesto
alineaban
luces
detuvo
oscilaban
caballo
frases
estrecho
capitán
óxido
hermosa
Acaso
cuidara
diré
rostro
cubierta
esconden
Drogo
atreverse
salvaje
impresionante
protegiera
dan
quejó
moneda
partidario
alegre
instante
jamás
lágrimas
cubría
batido
criaturas
extraña
vacío
resistentes
cociéndose
cortinas
alma
usar
escalar
dueño
viento
pie
gloria
hambre
tamaño
dormida
dedo
labios
escuchaba
enseñé
gritó
somos
Prefieren
cuesta
sostenían
bronce
prestéis
dando
transmitido
sencillas
pene
veinte
mezclan
pelo
expresión
pisadas
castillo
despertado
contenido
moverse
beben
Robert
pescado
desiertas
bordo
apuesto
calor
edificios
comprendió
debilidad
sorprenderse
allá
sujetaba
pacífico
vio
supiera
lino
dieron
cometan
vuelven
sombra
silenciosas
filas
oeste
escapados
poseen
caballeros
veían
montaña
séptimo
voz
Pobres
temperatura
reflexionó
casco
procedentes
ocho
proporcionar
ir
altos
fuego
construyó
azules
digas
enorme
caer
quitamos
darles
sienten
cercanías
discurso
apartar
permiso
arriba
semejante
símbolo
prohibido
adelante
torno
altura
torres
montados
enemigo
bastaban
chicos
miedo
robar
poderosos
siguiente
soldados
conversación
corazón
acordó
significa
pronto
adecuada
soy
guardan
acercarse
permaneció
castráis
protección
enteros
marina
error
convirtió
río
bella
recién
heridas
oscura
ejército
sean
cruzar
daño
palmo
batalla
valen
habitantes
amarilla
cola
muros
mató
ciego
atacar
Serán
acumulan
rápidos
delante
piensen
misión
norte
Tu
sangre
tela
puras
arte
recorrió
descubrió
detenimiento
crecía
edades
mensaje
haga
mis
secretos
convencerse
estrellas
peor
velocidad
siquiera
atrás
advirtió
servido
línea
escribas
brazos
rosado
líderes
sueño
Ve
educado
traficante
jóvenes
quiso
honor
ciudades
iba
joven
abandonaron
Toc
respuesta
Desea
Apenas
plata
procedía
Verano
alta
intención
dominan
demasiado
extremo
insistió
privados
disponibles
contemplaba
viejo
cobre
dinero
mandáis
entrado
venido
salvo
Esas
corría
cadena
atención
nota
olvido
enviar
lejos
ojos
Calculó
salta
seda
empezó
Quizá
piel
Palacio
clavados
flores
combate
grave
seno
Ahí
gradas
libertad
acudir
rayo
lanza
uso
puso
aspecto
regreso
oro
contar
regalo
nacieron
origen
alto
bastantes
muestra
tampoco
acompañaban
hermanas
padre
date
concentrarse
siendo
alimentaron
llena
venden
pretendéis
duda
mitad
colores
sirve
inmediato
fijó
motivo
demostrar
dioses
gracias
te
todavía
realidad
respondió
Antiguo
gustan
contrario
destino
recoge
recuerda
corto
interior
lado
metido
caído
estuviera
pedírselo
suficiente
canal
ellas
manera
dicho
defender
negra
reina
dirección
cuerpo
izquierda
Dio
aquel
he
rojo
metros
noche
pagáis
entendía
movimientos
afecto
dirigió
palabras
entregamos
coronados
comitiva
cerca
Siete
amplia
mire
verde
eran
exige
tendría
Hemos
comentó
Da
máximo
aceptaría
levantó
venta
física
mujeres
caminar
pidiera
cabeza
Rata
necesita
quiénes
aprobaba
