stem	rarity (-1 == wasn\'t in corpora, lower is more rare)	total corpora words	first word to make stem
habersel	-1	11622	habérseles
atez	-1	11622	atezado
livian	-1	11622	liviano
ral	-1	11622	ralear
vellud	-1	11622	velludo
pav	-1	11622	pavo
deslustr	-1	11622	deslustrado
olisque	-1	11622	olisqueó
rezum	-1	11622	rezumaba
ennegrec	-1	11622	ennegreció
asad	-1	11622	asada
asqu	-1	11622	asqueada
gatit	-1	11622	gatitos
raton	-1	11622	ratón
ganchud	-1	11622	ganchuda
rapaz	-1	11622	rapaz
descascar	-1	11622	descascarado
dothraki	-1	11622	dothraki
cader	-1	11622	cadera
estilet	-1	11622	estilete
myriens	-1	11622	myriense
empuñadur	-1	11622	empuñaduras
lasciv	-1	11622	lascivas
doy	-1	11622	doy
incont	-1	11622	incontables
danzarin	-1	11622	danzarín
decir	-1	11622	deciros
fanfarron	-1	11622	fanfarronería
prestadm	-1	11622	prestadme
reverent	-1	11622	reverencia
radiant	-1	11622	radiante
sonroj	-1	11622	sonrojar
pedacit	-1	11622	pedacito
retaguardi	-1	11622	retaguardia
detien	-1	11622	detienen
lealtad	-1	11622	lealtades
enfurec	-1	11622	enfureció
pyat	-1	11622	Pyat
xar	-1	11622	Xaro
viserys	-1	11622	Viserys
cortant	-1	11622	cortante
encargar	-1	11622	encargaros
mirri	-1	11622	Mirri
duur	-1	11622	Duur
juguet	-1	11622	jugueteaba
latig	-1	11622	látigo
dispondr	-1	11622	dispondré
nan	-1	11622	nana
hrakk	-1	11622	hrakkar
cuentam	-1	11622	Cuéntame
canos	-1	11622	canosa
lannist	-1	11622	Lannister
arpa	-1	11622	arpa
lord	-1	11622	Lord
steffon	-1	11622	Steffon
baratheon	-1	11622	Baratheon
jason	-1	11622	Jason
mallist	-1	11622	Mallister
vibor	-1	11622	Víbora
dorn	-1	11622	Dorne
toyn	-1	11622	Toyne
foraj	-1	11622	forajidos
arthur	-1	11622	Arthur
dayn	-1	11622	Dayne
titube	-1	11622	titubeó
whent	-1	11622	Whent
harrenhal	-1	11622	Harrenhal
usanz	-1	11622	usanza
bard	-1	11622	bardos
atrajeron	-1	11622	atrajeron
rocadragon	-1	11622	Rocadragón
lyann	-1	11622	Lyanna
stark	-1	11622	Stark
dorniens	-1	11622	dorniense
mia	-1	11622	mía
arrebuj	-1	11622	arrebujándose
insolent	-1	11622	insolencia
aprem	-1	11622	apremió
predestin	-1	11622	predestinación
funest	-1	11622	funesta
estival	-1	11622	Estival
amab	-1	11622	amaba
oia	-1	11622	oía
