Qarth
gongos
jinetes
armaduras
yelmos
hocicos
jabalí
colmillos
penachos
monturas
adornadas
rubíes
granates
Pyat
Vaes
Tolorro
magnífica
Saathos
Dany
magnificencia
innegable
arenisca
sinuosas
elefantes
granito
piras
mármol
sonrojar
idiota
dándose
tachonaduras
lomos
sandalias
agolpaban
torno
febril
violáceos
ocres
obsidiana
lapislázuli
esbeltas
ornamentadas
dragones
manticoras
qarthienses
abarrotaban
ataviados
brocados
túnicas
faldas
envuelta
Drogon
dothrakis
palidez
Khal
almendrados
khalasar
bazar
enrejado
encabritó
mercader
Xaro
Xhoan
Daxos
vuestro
entonó
fruslerías
khaleesi
ópalos
llameantes
maegi
Mirri
Duur
hechicerías
esbozaron
meciéndose
reverencia
Leen
pergaminos
colordelocaso
fusta
grajo
Jorah
Poniente
cabalgaba
dothraki
Alteza
jubón
Mormont
fiero
oléis
dulce
hedor
amarlo
grandioso
magíster
Illyrio
Pentos
pocilga
engulló
laberinto
estremecían
Sois
lánguido
calvo
ganchuda
pavo
alondra
rendiros
descalzo
vasija
ungüento
espíritus
Quaithe
laca
desasosegaba
Acuérdate
estemos
encargaos
Aggo
Rakharo
cuéntame
averigües
Llévate
id
muelles
averiguad
anclados
Usurpador
pulgares
Jhogo
Vos
desconfían
pórtico
frescor
delicioso
pececillos
Aegon
fragantes
Viserys
diestros
ennegrecidas
sorbido
hermosas
rían
verme
Rhaegar
nonato
Baratheon
amaba
Eddard
Stark
Lannister
exiguo
alzaría
idioteces
Irri
Jhiqui
toallas
Sangrante
ofrezcan
conquiste
anochecido
quienquiera
cojines
azabache
Quhuru
Mo
Canela
arrodillándose
valyrio
traigo
Dorne
Lys
Viserion
alas
Lord
ébano
Joffrey
asintió
Ned
traidor
bufó
desangra
Rhaegal
riéndose
dondequiera
marineros
previno
desenroscaron
dintel
arcos
yacía
Decidme
caerán
melocotones
dosh
testarudo
Tridente
puntillas
precedían
mejilla
agitándose
terrazas
muralla
jade
creído
acostarse
grifos
mordisqueaban
revoloteó
mío
vasto
oso
león
reír
truenos
envolvían
mansión
repente
mancille
cuervo
sirvientes
máscara
lavanda
asolaban
conmigo
escarmentada
oh
intrépido
gigantesco
cachorro
copulando
críptico
atuendo
serpientes
leales
pedazos
gentil
traicioneros
pulido
ocaso
fresca
lobos
anciana
exiliado
Hazlo
rojiza
colgaban
flechas
fruncido
ceño
complacida
proezas
festín
Maz
dorados
alzó
valiente
vendrán
recompensado
rumbo
prosiguió
Pree
crema
escudos
tapices
asignada
arco
abrieron
pondrán
amabilidad
desconfiaba
cuernos
alzaba
brisa
disipar
insinúan
doncella
bruscamente
temibles
láminas
barrer
susurró
oiréis
refrán
obsequio
toro
colmado
rezado
bosque
replicó
tenderetes
afeitar
indagar
hogar
agujas
esclavos
tallas
traslucir
viera
través
adivinación
piscina
veinticinco
destreza
monstruosos
Desembarco
aplacar
asombrada
adónde
varas
Robert
isleño
sonría
guardia
paredes
huido
Finge
envenenada
olor
balcones
leche
gruesos
cebras
temblaban
sabiduría
delicadas
querría
techo
traído
nariz
trampas
multitud
fluido
fantásticos
sensatez
chillaron
agradable
tigre
escenas
traición
Trono
cazaba
cinto
Fortaleza
echando
mentiras
inquietante
despidió
refuerzos
darán
compás
escamas
jardines
pájaros
alardean
patas
llora
soñado
camellos
carnicerías
venganza
imitaba
maduros
traseras
maravillas
menta
asustada
vean
brujo
ira
defensores
líquido
idiomas
rematados
ala
castillo
detrás
puente
fantasmas
siquiera
os
navegan
alojar
decepcionada
gris
perros
placer
Tormenta
Rozó
ruinas
digna
verlos
hierro
molestos
milanos
suaves
descubierto
Polvo
príncipe
capa
abajo
saquear
vieron
vaya
intermedias
desastrada
sintió
bárbara
oriente
naves
dijeron
millar
triple
pecho
árboles
gordos
cortinas
rodeaban
hielo
lengua
decorado
Sabio
vacías
bebés
carne
juró
advierto
curiosidad
brillaron
dama
estilo
tonos
hospitalidad
atendían
homenaje
legítimo
feo
soportar
agradeció
accedió
prometí
ti
Islas
enterrado
mueren
peces
riquezas
arrastrando
conquistarlo
pinturas
cáscaras
lucir
cien
ligero
guio
iban
toleraban
rosados
triste
mantas
alejó
secaban
espadas
pondrá
suyo
destrozó
tripulaciones
propósito
sucias
ridículos
ropa
grandeza
frágiles
sillas
columna
música
vino
frecuente
promesas
engaños
conozca
ruta
Trece
cadáveres
dientes
rara
besó
bella
cogió
poseen
cubiertos
sonrisa
esposas
galería
carecen
huesos
vestían
lugares
gesto
desconocía
escolta
depositar
elaboradas
caballos
apartar
altos
oeste
capitán
dando
hermosa
cuidado
diré
torres
rostro
Drogo
salvajes
fundido
cruzó
protegerá
pie
curiosa
acercó
entró
alegres
dedos
jamás
lágrimas
desierto
cubrir
batió
confiar
extraños
montar
plumas
desgracia
caballero
morir
Palacio
vientos
boca
tamaño
consejo
visión
dormir
labios
descansar
enseñarnos
flotar
bronce
estimado
veinte
mezclados
pelearan
sangre
ricos
pensamientos
Eternos
concedieran
deseéis
altas
beberéis
asesinados
audiencia
norte
azules
edificios
comprendo
nieves
débiles
sorprendida
vuelo
linos
vigilancia
cometa
Sombra
fuego
Abrió
matará
voz
plata
ir
digo
fríos
ido
quitado
darles
siento
cercanía
permiso
circunstancias
suerte
contrario
altura
enemigos
chico
poderosos
héroes
ejércitos
sean
soldados
corazón
significa
flores
Soy
entero
estrellas
oscuros
alianzas
haríais
crecían
hago
batalla
entrar
habitaba
amarillas
quemado
muros
extendieron
lado
letra
tu
rayadas
Recorred
corresponde
detenido
favor
mis
puso
reina
comparación
privadas
Imposible
relatos
duda
dioses
sur
apenas
luz
joven
libertad
hicieron
sueño
ve
oro
cuanto
quisiera
verano
honor
ciudades
iba
coinciden
abandonado
tocamos
barcos
deseo
distancia
demasiado
contemplarla
viejos
ojos
cobre
comercio
Venid
saltaron
seda
interior
junto
golpeaban
noticias
comportando
enviado
mar
rojo
contará
animales
piel
quince
sucedido
marchó
pleno
lanzas
regresado
natural
cerca
real
padre
exterior
dio
regalos
nacido
acompañaba
hermano
reclamar
largos
colores
llenos
vendía
movimiento
completa
cuerpos
elegante
aquel
demostró
estuviera
gustaba
Siete
vienen
recuerdo
verde
antigua
Miró
manera
caído
tendría
negra
pediría
suficientes
dicho
noche
central
He
corona
levantó
cabeza
amigo
dirigido
palabras
entregó
lugar
mujeres
eran
hemos
retirarse
comentó
puerta
igual
mil
aceptó
recuperar
tierra
fueran
van
necesita
quién
calles
suelen
allí
mujer
reducido
evitar
veces
niños
terminó
cerrar
Dentro
Rey
aire
tengo
necesidades
Tal
peso
ocupa
límites
menor
pueblo
plazas
blanca
incluidos
pensó
planes
aquí
observaban
sacó
querido
hijo
ambos
anunciar
centro
señor
cuentas
esos
gobernaban
convertirán
hizo
fuerte
agua
luchando
posibilidad
derrotar
ordenéis
ofrecerle
Habría
generoso
ver
nadie
preguntó
buscarla
resto
mala
reconoció
utilizar
claro
viaje
ciudad
ella
Aquello
visto
puesto
yo
situadas
cierto
esto
visitarme
objetivo
manos
mostraban
seguiremos
existido
menos
volvía
guerra
mientras
nombre
hablar
segura
ponen
nunca
muerto
Mañana
faltado
fuentes
encontraré
pequeño
fuerza
recibí
derecho
nadando
casi
entonces
grandes
salió
sea
tipo
fueron
diferentes
cuyas
esperaba
quiere
sentir
jugaban
cambiado
les
aunados
hubo
valor
tomó
posible
acabado
apoyar
ninguna
llamaban
declarado
algo
conocéis
puntas
así
ellos
Dice
día
vivos
único
estaban
hacia
podría
vez
propios
común
mi
Libres
decirlo
permitiría
bien
buenos
hecha
mercados
eso
Madre
tan
siempre
grupo
días
parecían
dejaban
unos
medio
tanto
antes
Llevaban
bajo
me
señal
poco
resultaría
quedaría
e
Creo
cada
importa
hombres
sabía
mundo
gran
gana
forma
tiempo
otro
podía
tres
Tras
ni
otros
ese
ahora
uno
presento
después
nos
era
sido
año
contra
donde
Casa
mismo
tenía
ante
Aunque
última
dijo
debemos
algunos
mucho
llegada
muy
según
hay
gobiernan
ya
Cuando
nuevo
desde
porque
hasta
sonar
solo
tiene
fue
puedo
han
sin
también
años
paso
dos
le
Si
sobre
había
entre
partir
hacían
este
Será
o
todo
está
sus
pero
más
lo
ha
como
es
al
su
no
para
Una
por
con
un
las
se
del
a
los
y
En
que
el
la
de
